	Common Settings,	
	.源输出/扫描点数,	100
	.重复次数,	0
	.测量延迟,	0.5
	.测量窗口,	20 ms
	.NPLC,	1
	.渠道,	SMU-1
	..仪器,	My 2636B
	...型号,	2636B
	...序列号,	4540426
	..Source Settings,	
	...模式,	直流
	...源功能,	电压偏压
	...量程,	自动
	...偏置值,	0
	...限值,	0.1
	..Measure Settings,	
	...电压,	测量值
	...电流,	True
	...量程,	自动
	...最小量程,	1E-10
	...电阻,	False
	...功率,	False
	...自动归零,	打开
	..Instrument Settings,	
	...接线端子,	后面板
	...接线方式,	2 线
	...输出关闭,	标准
	...高电容,	False
	.,	
	..仪器,	My 2636B
	...型号,	2636B
	...序列号,	4540426
	..Source Settings,	
	...模式,	直流
	...源功能,	电压扫描
	...源类型,	线性
	...双向扫描,	禁用
	...量程,	最佳适配
	...开始,	0
	...停止,	5
	...步进,	0.0505050505050505
	...限值,	0.1
	..Measure Settings,	
	...电压,	测量值
	...电流,	True
	...量程,	0.1
	...电阻,	False
	...功率,	False
	...自动归零,	一次
	..Instrument Settings,	
	...接线端子,	后面板
	...接线方式,	2 线
	...输出关闭,	标准
	...高电容,	False

"索引","SMU-1 时间 (s)","SMU-1 电压 (V)","SMU-1 电流 (A)"
"1","0","-1.54972076416016E-05","0.000420201802626252"
"2","0.52004","-2.64883037743857E-05","0.000420835625845939"
"3","1.040079","-2.93970115308184E-05","0.000420277268858626"
"4","1.560118","-3.01837917504599E-05","0.000420384079916403"
"5","2.080158","-3.19719329127111E-05","0.000420201191445813"
"6","2.600198","-3.04460536426632E-05","0.000420752912759781"
"7","3.120237","-3.05414214381017E-05","0.000420871045207605"
"8","3.640277","-2.88486480712891E-05","0.000420857453718781"
"9","4.160317","-2.66551978711504E-05","0.000420773052610457"
"10","4.680356","-3.53574760083575E-05","0.000420950556872413"
"11","5.200395","-3.22580344800372E-05","0.000421024102251977"
"12","5.720435","-3.17096710205078E-05","0.000421063217800111"
"13","6.240475","-3.16858313453849E-05","0.000421156903030351"
"14","6.760515","-3.23295607813634E-05","0.000421371485572308"
"15","7.280555","-3.5405158996582E-05","0.000421346572693437"
"16","7.800595","-3.92675392504316E-05","0.000421297940192744"
"17","8.320635","-3.70979323633946E-05","0.000420503871282563"
"18","8.840674","-3.53813193214592E-05","0.00042180743184872"
"19","9.360714","-3.74317169189453E-05","0.0004219769325573"
"20","9.880753","-4.32968154200353E-05","0.000422245153458789"
"21","10.400792","-3.92675392504316E-05","0.000422239332692698"
"22","10.920832","-4.12225745094474E-05","0.000422260665800422"
