	Common Settings,	
	.源输出/扫描点数,	100
	.重复次数,	0
	.测量延迟,	0.5
	.测量窗口,	20 ms
	.NPLC,	1
	.渠道,	SMU-1
	..仪器,	My 2636B
	...型号,	2636B
	...序列号,	4540426
	..Source Settings,	
	...模式,	直流
	...源功能,	电压扫描
	...源类型,	线性
	...双向扫描,	禁用
	...量程,	自动
	...开始,	-0.7
	...停止,	5
	...步进,	0.0575757575757576
	...限值,	0.1
	..Measure Settings,	
	...电压,	测量值
	...电流,	True
	...量程,	自动
	...最小量程,	1E-10
	...电阻,	False
	...功率,	False
	...自动归零,	打开
	..Instrument Settings,	
	...接线端子,	后面板
	...接线方式,	2 线
	...输出关闭,	标准
	...高电容,	False
	.,	
	..仪器,	My 2636B
	...型号,	2636B
	...序列号,	4540426
	..Source Settings,	
	...模式,	直流
	...源功能,	电压扫描
	...源类型,	线性
	...双向扫描,	禁用
	...量程,	最佳适配
	...开始,	0
	...停止,	5
	...步进,	0.0505050505050505
	...限值,	0.1
	..Measure Settings,	
	...电压,	测量值
	...电流,	True
	...量程,	0.1
	...电阻,	False
	...功率,	False
	...自动归零,	一次
	..Instrument Settings,	
	...接线端子,	后面板
	...接线方式,	2 线
	...输出关闭,	标准
	...高电容,	False

"索引","SMU-1 时间 (s)","SMU-1 电压 (V)","SMU-1 电流 (A)"
"1","0","-0.70078444480896","-0.0818405374884605"
"2","0.52004","-0.643174886703491","-0.0528824701905251"
"3","1.04008","-0.585609674453735","-0.0323275215923786"
"4","1.56012","-0.527967929840088","-0.0180210117250681"
"5","2.100574","-0.470365047454834","-0.00904731266200542"
"6","2.620614","-0.412736892700195","-0.00405001640319824"
"7","3.140653","-0.355136156082153","-0.00159992335829884"
"8","3.68111","-0.29749584197998","-0.000490578066091985"
"9","4.221758","-0.239892244338989","-6.56897054795991E-06"
"10","5.348025","-0.152585297822952","-3.54695300908148E-10"
"11","5.868066","-0.13406328856945","-3.13850168076613E-10"
"12","6.388104","-0.10338232666254","-2.51648424320905E-10"
"13","6.908148","-0.0659321546554565","-1.83172102485862E-10"
"14","7.948498","-0.0622183084487915","1.05481743131741E-11"
"15","8.468537","-0.00753753213211894","1.73857213348061E-11"
"16","8.988576","0.0422952175140381","2.55473853877364E-11"
"17","9.508617","0.0707526206970215","3.38563933832692E-11"
"18","10.028657","0.123401880264282","4.17878856517895E-11"
"19","10.548697","0.179555177688599","4.98259558612268E-11"
"20","11.068736","0.243375062942505","5.37101023379005E-11"
"21","11.588776","0.311352014541626","5.49190519449905E-11"
"22","12.108817","0.371040821075439","5.75157040050289E-11"
"23","12.628859","0.430075883865356","5.91763651969224E-11"
"24","13.1489","0.488534927368164","6.02157837481521E-11"
"25","13.668942","0.546812772750854","6.17350615073065E-11"
"26","14.188982","0.604022264480591","6.37431843419911E-11"
"27","14.70902","0.660526514053345","6.44378786440747E-11"
"28","15.22906","0.716069936752319","6.53116796756059E-11"
"29","15.749099","0.772610187530518","6.523859924501E-11"
"30","16.269139","0.82782506942749","6.58566604028188E-11"
"31","16.789181","0.883137702941895","6.62543284124517E-11"
"32","17.30922","0.93832540512085","6.73569811038277E-11"
"33","17.829257","0.99321460723877","6.79964279326484E-11"
"34","18.349296","1.04650545120239","6.88038861995643E-11"
"35","18.869336","1.1006133556366","6.99707375373393E-11"
"36","19.389377","1.15283155441284","7.04888578062501E-11"
"37","19.909417","1.2067768573761","7.06791639104587E-11"
"38","20.429457","1.26036477088928","7.16389170207776E-11"
"39","20.949496","1.31450915336609","7.24696413989534E-11"
"40","21.469535","1.36908674240112","7.37576943965479E-11"
"41","21.989574","1.42451810836792","7.38327732285882E-11"
"42","22.509612","1.47995352745056","7.39893701862115E-11"
"43","23.029673","1.53615093231201","7.47390413446958E-11"
"44","23.549713","1.59196996688843","7.52541570725462E-11"
"45","24.069779","1.64818954467773","7.59143858886091E-11"
"46","24.589819","1.70438647270203","7.69829408553413E-11"
"47","25.109859","1.76050186157227","7.8303398487467E-11"
"48","26.322199","2.00570106506348","5.69578378417646E-06"
"49","26.842239","2.06262826919556","5.71600912735448E-06"
"50","27.362278","2.11904287338257","5.55706265004119E-06"
"51","27.882317","2.17819690704346","5.71606506127864E-06"
"52","28.402356","2.23622560501099","5.57916609977838E-06"
"53","28.922396","2.29336261749268","5.76413140151999E-06"
"54","29.442435","2.35083103179932","5.71627106182859E-06"
"55","29.962474","2.40947008132935","5.76707952859579E-06"
"56","30.482514","2.46598958969116","5.91465459365281E-06"
"57","31.002553","2.52323150634766","5.71275813854299E-06"
"58","31.522592","2.58105754852295","5.86173655392486E-06"
"59","32.042632","2.63916969299316","5.95990877627628E-06"
"60","32.562671","2.69662618637085","5.92867127124919E-06"
"61","33.082711","2.75287389755249","5.72010503674392E-06"
"62","33.602751","2.81083583831787","5.381858045439E-06"
"63","34.184087","2.86915063858032","0.00108939525671303"
"64","34.704127","2.92672157287598","0.00111907836981118"
"65","35.224167","2.98460721969604","0.00114987604320049"
"66","35.744206","3.04216623306274","0.00118043657857925"
"67","36.264245","3.09974908828735","0.00121293298434466"
"68","36.784285","3.15731048583984","0.00124444835819304"
"69","37.304325","3.21485996246338","0.00127732509281486"
"70","37.824365","3.27241182327271","0.00131066318135709"
"71","38.344404","3.33031892776489","0.0013452636776492"
"72","38.864444","3.38789939880371","0.00137865776196122"
"73","39.384483","3.4454870223999","0.00140739558264613"
"74","39.904522","3.50300312042236","0.00144375080708414"
"75","40.424562","3.56059789657593","0.00148046016693115"
"76","40.944602","3.61814498901367","0.00152092333883047"
"77","41.464642","3.67603778839111","0.00155858392827213"
"78","41.984682","3.73363256454468","0.00159736629575491"
"79","42.504721","3.79123210906982","0.00163579813670367"
"80","43.02476","3.84884119033813","0.00167807459365577"
"81","43.5448","3.90641689300537","0.00172241090331227"
"82","44.064839","3.96404504776001","0.00177690503187478"
"83","44.584879","4.02186632156372","0.00185468909330666"
"84","45.104919","4.07945394515991","0.00190171354915947"
"85","45.624959","4.13700819015503","0.00194213388022035"
"86","46.144998","4.19454097747803","0.00198369985446334"
"87","46.665037","4.25212383270264","0.00202811951749027"
"88","47.185076","4.30970668792725","0.00208158139139414"
"89","47.705115","4.36757326126099","0.00212584249675274"
"90","48.225155","4.42509412765503","0.00216774106957018"
"91","48.745194","4.48269367218018","0.00221378332935274"
"92","49.265233","4.5402455329895","0.00225400552153587"
"93","49.785273","4.5977783203125","0.00230142357759178"
"94","50.305313","4.65537548065186","0.00235159276053309"
"95","50.825353","4.71327066421509","0.00239482522010803"
"96","51.345393","4.77089881896973","0.00244099972769618"
"97","51.865433","4.82839107513428","0.00249055726453662"
"98","52.385472","4.88593339920044","0.00253494619391859"
"99","52.905511","4.94352102279663","0.00258586765266955"
"100","53.42555","5.00107765197754","0.00263357046060264"
