	Common Settings,	
	.源输出/扫描点数,	100
	.重复次数,	0
	.测量延迟,	0.5
	.测量窗口,	20 ms
	.NPLC,	1
	.渠道,	SMU-1
	..仪器,	My 2636B
	...型号,	2636B
	...序列号,	4540426
	..Source Settings,	
	...模式,	直流
	...源功能,	电流偏置
	...量程,	自动
	...偏置值,	0
	...限值,	5
	..Measure Settings,	
	...电流,	测量值
	...电压,	True
	...量程,	自动
	...最小量程,	0.2
	...电阻,	False
	...功率,	False
	...自动归零,	打开
	..Instrument Settings,	
	...接线端子,	后面板
	...接线方式,	2 线
	...输出关闭,	标准
	...高电容,	False
	.,	
	..仪器,	My 2636B
	...型号,	2636B
	...序列号,	4540426
	..Source Settings,	
	...模式,	直流
	...源功能,	电压扫描
	...源类型,	线性
	...双向扫描,	禁用
	...量程,	最佳适配
	...开始,	0
	...停止,	5
	...步进,	0.0505050505050505
	...限值,	0.1
	..Measure Settings,	
	...电压,	测量值
	...电流,	True
	...量程,	0.1
	...电阻,	False
	...功率,	False
	...自动归零,	一次
	..Instrument Settings,	
	...接线端子,	后面板
	...接线方式,	2 线
	...输出关闭,	标准
	...高电容,	False

"索引","SMU-1 时间 (s)","SMU-1 电流 (A)","SMU-1 电压 (V)"
"1","0","1.2958049618126E-13","-0.18352222442627"
"2","0.520039","1.30414952383313E-13","-0.182975336909294"
"3","1.040079","1.33752817849109E-13","-0.182780787348747"
"4","1.560119","1.24931328845425E-13","-0.182652100920677"
"5","2.080159","1.22547141163075E-13","-0.182491421699524"
"6","2.600199","1.27792348643234E-13","-0.182414039969444"
"7","3.120239","1.2958049618126E-13","-0.182368084788322"
"8","3.640279","1.38998025329268E-13","-0.18218831717968"
"9","4.160318","1.32918348094528E-13","-0.182162120938301"
"10","4.680357","1.35064119719149E-13","-0.182228550314903"
"11","5.200396","1.38044347545822E-13","-0.182211235165596"
"12","5.720435","1.31607046224488E-13","-0.182193800806999"
"13","6.240475","1.31249422137894E-13","-0.182210117578506"
"14","6.760515","1.42216682766198E-13","-0.18222787976265"
"15","7.280554","1.40070911141578E-13","-0.182231768965721"
"16","7.800593","1.34825703661419E-13","-0.182224467396736"
"17","8.320633","1.33872025877974E-13","-0.18226270377636"
"18","8.840673","1.33752817849109E-13","-0.182307988405228"
"19","9.360712","1.34229649964568E-13","-0.182317599654198"
"20","9.880751","1.2958049618126E-13","-0.182318165898323"
"21","10.40079","1.25408174513411E-13","-0.182194784283638"
"22","10.920829","1.33872025877974E-13","-0.182270646095276"
"23","11.440868","1.2981891223899E-13","-0.182441636919975"
"24","11.960907","1.35898589473729E-13","-0.18243670463562"
"25","12.480947","1.39951703112713E-13","-0.182403907179832"
"26","13.000986","1.37567515430363E-13","-0.182458713650703"
"27","13.521026","1.38998025329268E-13","-0.182490542531013"
"28","14.041066","1.47342682217493E-13","-0.182418704032898"
"29","14.561105","1.49965285957572E-13","-0.182654768228531"
"30","15.081144","1.45792950737196E-13","-0.182540819048882"
"31","15.601184","1.44004816751697E-13","-0.182676628232002"
"32","16.121223","1.45554534679466E-13","-0.182617574930191"
"33","16.641262","1.47104252607236E-13","-0.182618483901024"
"34","17.161302","1.44720078477413E-13","-0.182607874274254"
"35","17.681341","1.42693514881657E-13","-0.182608231902122"
"36","18.201381","1.48534776058667E-13","-0.1826491355896"
"37","18.72142","1.40070911141578E-13","-0.182693317532539"
"38","19.24146","1.37329099372634E-13","-0.182678490877151"
"39","19.761499","1.32322307950204E-13","-0.182676032185555"
"40","20.281539","1.41501421040482E-13","-0.182715773582458"
"41","20.801579","1.40070911141578E-13","-0.18271616101265"
"42","21.321618","1.34825703661419E-13","-0.182698518037796"
"43","21.841658","1.34944911690284E-13","-0.182690843939781"
"44","22.361697","1.39474870997254E-13","-0.182716727256775"
"45","22.881737","1.39236441386997E-13","-0.182683542370796"
"46","23.401776","1.38998025329268E-13","-0.182638272643089"
"47","23.921815","1.36613837646918E-13","-0.182585477828979"
"48","24.441854","1.46269796405182E-13","-0.182537078857422"
"49","24.961894","1.45673742708331E-13","-0.182515189051628"
"50","25.481933","1.48296346448411E-13","-0.182525381445885"
"51","26.001973","1.43527984636238E-13","-0.182493403553963"
"52","26.522013","1.44600870448548E-13","-0.182522565126419"
"53","27.042053","1.46865836549506E-13","-0.182553768157959"
"54","27.562092","1.48415568029803E-13","-0.182570531964302"
"55","28.082131","1.57833097177811E-13","-0.182592198252678"
"56","28.60217","1.51753419943071E-13","-0.182551577687263"
"57","29.122209","1.41382213011618E-13","-0.182445332407951"
"58","29.642248","1.44600870448548E-13","-0.18240037560463"
"59","30.162287","1.42216682766198E-13","-0.182384684681892"
"60","30.682327","1.45077702564007E-13","-0.182385563850403"
"61","31.202367","1.51515003885341E-13","-0.182342752814293"
"62","31.722406","1.45435326650602E-13","-0.182318642735481"
"63","32.242445","1.57594681120081E-13","-0.182347685098648"
"64","32.762485","1.47461890246357E-13","-0.182444497942924"
"65","33.282525","1.48653984087532E-13","-0.182510003447533"
"66","33.802564","1.45077702564007E-13","-0.182559013366699"
"67","34.322603","1.42216682766198E-13","-0.18251596391201"
"68","34.842643","1.46865836549506E-13","-0.182756766676903"
"69","35.362682","1.45792950737196E-13","-0.182755142450333"
"70","35.882721","1.52468681668787E-13","-0.182729318737984"
"71","36.40276","1.50322910044166E-13","-0.182668998837471"
"72","36.9228","1.54256815654286E-13","-0.182537078857422"
"73","37.44284","1.62124626874524E-13","-0.182373747229576"
"74","37.962879","1.62124626874524E-13","-0.182389721274376"
"75","38.482918","1.51395795856477E-13","-0.182342559099197"
"76","39.002958","1.5592574161092E-13","-0.182333543896675"
"77","39.522997","1.54733647769745E-13","-0.182342395186424"
"78","40.043036","1.5592574161092E-13","-0.182306751608849"
"79","40.563075","1.57356251509824E-13","-0.182294651865959"
"80","41.083115","1.6069411697562E-13","-0.182318404316902"
"81","41.603154","1.57594681120081E-13","-0.182328253984451"
"82","42.123194","1.49726869899842E-13","-0.182315185666084"
"83","42.643234","1.57713889148946E-13","-0.182299762964249"
"84","43.163273","1.48296346448411E-13","-0.182311996817589"
"85","43.683313","1.37090683314904E-13","-0.182309433817863"
"86","44.203352","1.39236441386997E-13","-0.182318136096001"
"87","44.723392","1.47342682217493E-13","-0.182327434420586"
"88","45.243431","1.5437602368315E-13","-0.182321339845657"
"89","45.763471","1.61170949091079E-13","-0.182326599955559"
"90","46.28351","1.50322910044166E-13","-0.182314470410347"
"91","46.80355","1.5437602368315E-13","-0.182304903864861"
"92","47.323589","1.43766400693968E-13","-0.182271599769592"
"93","47.843629","1.47223474188628E-13","-0.18228380382061"
