	Common Settings,	
	.源输出/扫描点数,	100
	.重复次数,	0
	.测量延迟,	0.5
	.测量窗口,	20 ms
	.NPLC,	1
	.渠道,	SMU-1
	..仪器,	My 2636B
	...型号,	2636B
	...序列号,	4540426
	..Source Settings,	
	...模式,	直流
	...源功能,	电压偏压
	...量程,	自动
	...偏置值,	0
	...限值,	0.5
	..Measure Settings,	
	...电压,	测量值
	...电流,	True
	...量程,	自动
	...最小量程,	1E-10
	...电阻,	False
	...功率,	False
	...自动归零,	打开
	..Instrument Settings,	
	...接线端子,	后面板
	...接线方式,	2 线
	...输出关闭,	标准
	...高电容,	False
	.,	
	..仪器,	My 2636B
	...型号,	2636B
	...序列号,	4540426
	..Source Settings,	
	...模式,	直流
	...源功能,	电压扫描
	...源类型,	线性
	...双向扫描,	禁用
	...量程,	最佳适配
	...开始,	0
	...停止,	5
	...步进,	0.0505050505050505
	...限值,	0.1
	..Measure Settings,	
	...电压,	测量值
	...电流,	True
	...量程,	0.1
	...电阻,	False
	...功率,	False
	...自动归零,	一次
	..Instrument Settings,	
	...接线端子,	后面板
	...接线方式,	2 线
	...输出关闭,	标准
	...高电容,	False

"索引","SMU-1 时间 (s)","SMU-1 电压 (V)","SMU-1 电流 (A)"
"1","0","1.09672546386719E-05","0.162375926971436"
"2","0.520039","9.9420549304341E-06","0.162351965904236"
"3","1.040079","1.20162967505166E-05","0.16227525472641"
"4","1.560119","1.23023992273374E-05","0.162343740463257"
"5","2.080158","1.09910970422789E-05","0.162229299545288"
"6","2.600197","8.41617566038622E-06","0.162210524082184"
"7","3.120237","9.58442706178175E-06","0.162364304065704"
"8","3.640276","1.30891803564737E-05","0.162171185016632"
"9","4.160316","1.67131420312217E-05","0.162268102169037"
"10","4.680355","1.11579893200542E-05","0.162183165550232"
"11","5.200395","1.49965289892862E-05","0.162235021591187"
"12","5.720434","1.43051147460938E-05","0.162172615528107"
"13","6.240474","1.25885007946636E-05","0.162223398685455"
"14","6.760513","1.48057943079039E-05","0.162307798862457"
"15","7.280552","1.82390213012695E-05","0.162201404571533"
"16","7.800592","1.85012813744834E-05","0.162168860435486"
"17","8.320631","1.48534772961284E-05","0.162192285060883"
"18","8.84067","1.84059153980343E-05","0.162029385566711"
"19","9.360709","1.46389011206338E-05","0.162163138389587"
"20","9.880748","1.65462497534463E-05","0.162051916122437"
"21","10.400787","1.43051147460938E-05","0.16221284866333"
"22","10.920826","1.36375429065083E-05","0.162186026573181"
"23","11.440865","1.78098689502804E-05","0.162150084972382"
"24","11.960904","1.26123431982705E-05","0.162268459796906"
"25","12.480943","1.57356262207031E-05","0.162222504615784"
"26","13.000983","1.73330317920772E-05","0.162239849567413"
"27","13.521022","1.24454500110005E-05","0.162183165550232"
"28","14.041062","1.30653379528667E-05","0.162218749523163"
"29","14.561101","1.25646593005513E-05","0.16200202703476"
"30","15.081141","1.64508819580078E-05","0.162055850028992"
"31","15.601181","1.9073486328125E-05","0.161898136138916"
"32","16.121221","2.03847885131836E-05","0.16197144985199"
"33","16.64126","2.02178962354083E-05","0.161946594715118"
"34","17.161299","1.26838685901021E-05","0.162014007568359"
"35","17.681338","1.7070769899874E-05","0.161994874477386"
"36","18.201378","1.84774398803711E-05","0.161970913410187"
"37","18.721417","2.27689743041992E-05","0.161948025226593"
"38","19.241456","1.99556361621944E-05","0.161889016628265"
"39","19.761496","1.99079513549805E-05","0.161886155605316"
"40","20.281536","2.45332721533487E-05","0.161913514137268"
"41","20.801575","1.78337104443926E-05","0.161858439445496"
"42","21.321614","1.75237655639648E-05","0.16190242767334"
"43","21.841653","1.69038776220987E-05","0.161879897117615"
"44","22.361692","1.50203704833984E-05","0.161888480186462"
"45","22.881732","1.59502033056924E-05","0.161870419979095"
"46","23.401772","1.49011611938477E-05","0.162008285522461"
"47","23.921812","1.39713292810484E-05","0.161940693855286"
"48","24.441852","1.69754039234249E-05","0.161908686161041"
"49","24.961891","1.2373924619169E-05","0.16179370880127"
"50","25.48193","1.16586688818643E-05","0.161824285984039"
"51","26.00197","8.34465026855469E-06","0.161795675754547"
"52","26.522009","1.32560735437437E-05","0.161725580692291"
"53","27.042049","1.04665759863565E-05","0.161888480186462"
"54","27.562089","1.22785568237305E-05","0.161765813827515"
"55","28.082129","1.8143653505831E-05","0.161727547645569"
"56","28.602169","2.45332721533487E-05","0.16176438331604"
"57","29.122209","2.55107879638672E-05","0.161734342575073"
"58","29.642248","2.47716907324502E-05","0.161684453487396"
"59","30.162287","2.01225284399698E-05","0.161641716957092"
"60","30.682327","1.73568732861895E-05","0.161707878112793"
