	Common Settings,	
	.源输出/扫描点数,	100
	.重复次数,	0
	.测量延迟,	0.5
	.测量窗口,	20 ms
	.NPLC,	1
	.渠道,	SMU-1
	..仪器,	My 2636B
	...型号,	2636B
	...序列号,	4540426
	..Source Settings,	
	...模式,	直流
	...源功能,	电压偏压
	...量程,	自动
	...偏置值,	0
	...限值,	1
	..Measure Settings,	
	...电压,	测量值
	...电流,	True
	...量程,	自动
	...最小量程,	1E-10
	...电阻,	False
	...功率,	False
	...自动归零,	打开
	..Instrument Settings,	
	...接线端子,	后面板
	...接线方式,	2 线
	...输出关闭,	标准
	...高电容,	False
	.,	
	..仪器,	My 2636B
	...型号,	2636B
	...序列号,	4540426
	..Source Settings,	
	...模式,	直流
	...源功能,	电压扫描
	...源类型,	线性
	...双向扫描,	禁用
	...量程,	最佳适配
	...开始,	0
	...停止,	5
	...步进,	0.0505050505050505
	...限值,	0.1
	..Measure Settings,	
	...电压,	测量值
	...电流,	True
	...量程,	0.1
	...电阻,	False
	...功率,	False
	...自动归零,	一次
	..Instrument Settings,	
	...接线端子,	后面板
	...接线方式,	2 线
	...输出关闭,	标准
	...高电容,	False

"索引","SMU-1 时间 (s)","SMU-1 电压 (V)","SMU-1 电流 (A)"
"1","0","3.83853921448463E-06","0.164659917354584"
"2","0.52004","-3.57627868652344E-07","0.164602875709534"
"3","1.040079","-5.62667855774635E-06","0.164632558822632"
"4","1.560118","-1.78813934326172E-06","0.164716064929962"
"5","2.080157","-6.55651092529297E-06","0.164749503135681"
"6","2.600197","-8.98838061402785E-06","0.164665281772614"
"7","3.120237","-7.41481790100806E-06","0.164619147777557"
"8","3.640277","-6.67572021484375E-06","0.164566934108734"
"9","4.160316","-1.02996827990864E-05","0.164476454257965"
"10","4.680355","-1.27077100842143E-05","0.164596259593964"
"11","5.200395","-8.82148742675781E-06","0.164423704147339"
"12","5.720434","-1.39951707751607E-05","0.164588570594788"
"13","6.240473","-8.65459423948778E-06","0.16467958688736"
"14","6.760513","-8.15391558717238E-06","0.164617717266083"
"15","7.280552","-7.96318090579007E-06","0.164666712284088"
"16","7.800591","-6.29425039733178E-06","0.164471626281738"
"17","8.32063","-7.24792471373803E-06","0.16451758146286"
"18","8.840669","-8.41617566038622E-06","0.164632558822632"
"19","9.360708","-4.60147884950857E-06","0.164483606815338"
"20","9.880748","-8.46385955810547E-06","0.164633631706238"
"21","10.400787","-8.24928338261088E-06","0.164488434791565"
"22","10.920826","-5.48362731933594E-06","0.164515256881714"
"23","11.440866","-6.98566464052419E-06","0.164488792419434"
"24","11.960905","-3.31401838593592E-06","0.16457462310791"
"25","12.480945","-2.4318694613612E-06","0.164413154125214"
"26","13.000985","-4.64916229248047E-06","0.164336979389191"
"27","13.521025","-6.00814837525832E-06","0.164532065391541"
"28","14.041065","-5.88893908570753E-06","0.164464831352234"
"29","14.561104","-2.26497650146484E-06","0.164414584636688"
"30","15.081143","-5.62667855774635E-06","0.164435148239136"
"31","15.601182","-2.55107875091198E-06","0.164473593235016"
"32","16.121221","-6.19888339770114E-07","0.164307296276093"
"33","16.641261","-2.90870661956433E-06","0.164364337921143"
"34","17.161301","2.38418579101563E-07","0.164208054542542"
"35","17.681341","-3.57627868652344E-06","0.164284229278564"
"36","18.201381","-9.25064068724168E-06","0.164224326610565"
"37","18.72142","-5.69820394957787E-06","0.164316773414612"
"38","19.24146","-5.48362731933594E-06","0.16432785987854"
"39","19.7615","-8.01086480350932E-06","0.16444855928421"
"40","20.281539","-6.24656695435988E-06","0.164412260055542"
