	Common Settings,	
	.源输出/扫描点数,	100
	.重复次数,	0
	.测量延迟,	0.5
	.测量窗口,	20 ms
	.NPLC,	1
	.渠道,	SMU-1
	..仪器,	My 2636B
	...型号,	2636B
	...序列号,	4540426
	..Source Settings,	
	...模式,	直流
	...源功能,	电流偏置
	...量程,	自动
	...偏置值,	0
	...限值,	5
	..Measure Settings,	
	...电流,	测量值
	...电压,	True
	...量程,	自动
	...最小量程,	0.2
	...电阻,	False
	...功率,	False
	...自动归零,	打开
	..Instrument Settings,	
	...接线端子,	后面板
	...接线方式,	2 线
	...输出关闭,	标准
	...高电容,	False
	.,	
	..仪器,	My 2636B
	...型号,	2636B
	...序列号,	4540426
	..Source Settings,	
	...模式,	直流
	...源功能,	电压扫描
	...源类型,	线性
	...双向扫描,	禁用
	...量程,	最佳适配
	...开始,	0
	...停止,	5
	...步进,	0.0505050505050505
	...限值,	0.1
	..Measure Settings,	
	...电压,	测量值
	...电流,	True
	...量程,	0.1
	...电阻,	False
	...功率,	False
	...自动归零,	一次
	..Instrument Settings,	
	...接线端子,	后面板
	...接线方式,	2 线
	...输出关闭,	标准
	...高电容,	False

"索引","SMU-1 时间 (s)","SMU-1 电流 (A)","SMU-1 电压 (V)"
"1","0","1.59978868802431E-13","-0.628141403198242"
"2","0.520039","1.59263607076715E-13","-0.628155708312988"
"3","1.040078","1.6283988860024E-13","-0.628180265426636"
"4","1.560118","1.52468681668787E-13","-0.628154039382935"
"5","2.080158","1.6307830465797E-13","-0.628166437149048"
"6","2.600197","1.67012210268089E-13","-0.628080606460571"
"7","3.120237","1.6307830465797E-13","-0.628121852874756"
"8","3.640276","1.5830992929327E-13","-0.628118515014648"
"9","4.160315","1.57952305206675E-13","-0.62811017036438"
"10","4.680354","1.56283379250041E-13","-0.628076314926147"
"11","5.200394","1.47819514332952E-13","-0.628101110458374"
"12","5.720433","1.38282777156079E-13","-0.628164052963257"
"13","6.240472","1.37805931488093E-13","-0.628153085708618"
"14","6.760512","1.31249422137894E-13","-0.628123044967651"
"15","7.280552","1.26600268354586E-13","-0.628174304962158"
"16","7.800591","1.32322307950204E-13","-0.628111362457275"
"17","8.320631","1.36375421589188E-13","-0.628094434738159"
"18","8.840671","1.24931328845425E-13","-0.628082275390625"
"19","9.36071","1.29938120267854E-13","-0.628039121627808"
"20","9.88075","1.24454496729966E-13","-0.628005027770996"
"21","10.400789","1.32918348094528E-13","-0.628015756607056"
"22","10.920829","1.2826919431122E-13","-0.628029823303223"
