V,J
0,0.029377901
0.02,0.029219571
0.04,0.029429434
0.06,0.029451259
0.08,0.029111596
0.1,0.029187261
0.12,0.029354817
0.14,0.029302201
0.16,0.029337059
0.18,0.029238413
0.2,0.029441246
0.22,0.029429026
0.24,0.029344978
0.26,0.029469011
0.28,0.02939106
0.3,0.029234882
0.32,0.029378311
0.34,0.02922165
0.36,0.029436012
0.38,0.029324715
0.4,0.029304518
0.42,0.029237585
0.44,0.029442687
0.46,0.029242156
0.48,0.029126537
0.5,0.028955569
0.52,0.028670797
0.54,0.027811119
0.56,0.025999276
0.58,0.022069112
0.6,0.013762332
0.62,-0.0049344303
0.64,-0.044685017
