V,J,modeled_input_power_W_cm2
0.0,0.029339428118981627,0.1
0.02,0.029339107639326005,0.1
0.04,0.029338702171405908,0.1
0.06,0.029338337163562024,0.1
0.08,0.029337928892723044,0.1
0.1,0.029337560960406225,0.1
0.12,0.029337153616638065,0.1
0.14,0.02933674059872588,0.1
0.16,0.029336329739909954,0.1
0.18,0.029335916779119134,0.1
0.2,0.029335501221816496,0.1
0.22,0.02933508208412778,0.1
0.24,0.029334619491600347,0.1
0.26,0.029334150968973877,0.1
0.28,0.029333667297100265,0.1
0.3,0.02933311479092126,0.1
0.32,0.029332470592800468,0.1
0.34,0.029331599323808973,0.1
0.36,0.029330271951813723,0.1
0.38,0.029328010396227913,0.1
0.4,0.0293236774955868,0.1
0.42,0.02931491989366012,0.1
0.44,0.029296634215945208,0.1
0.46,0.029257718559710922,0.1
0.48,0.029174236015817086,0.1
0.5,0.028994327715928313,0.1
0.52,0.028605784588232423,0.1
0.54,0.02776571385220864,0.1
0.56,0.02594841050040682,0.1
0.58,0.022016299077163903,0.1
0.6,0.013509080288191044,0.1
0.62,-0.00488783754649446,0.1
0.64,-0.04462435607114011,0.1
